   NO.      Round     Ori_Content   Lack_Content   Extra_Content   Final_Cover  
    1         19           5              2              0             0.6      
    2         22           7              1              0       0.8571428571428571
    3         16           5              1              0             0.8      
    4         15           5              0              0             1.0      
    5         14           4              1              0            0.75      
    6         25           7              2              0       0.7142857142857143
    7         22           7              1              0       0.8571428571428571
    8         16           5              1              0             0.8      
    9         17           5              1              0             0.8      
    10        17           5              1              0             0.8      
    11        24           7              2              0       0.7142857142857143
    12        19           6              0              0             1.0      
    13        17           5              1              0             0.8      
    14        17           5              1              0             0.8      
    15        17           5              1              0             0.8      
    16        20           6              1              0       0.8333333333333334
    17        23           7              1              0       0.8571428571428571
    18        22           5              2              0             0.6      
    19        23           6              2              0       0.6666666666666666
    20        20           5              1              0             0.8      
    21        17           5              1              0             0.8      
    22        16           5              0              0             1.0      
    23        23           6              2              0       0.6666666666666666
    24        7            2              0              0             1.0      
    25        17           5              1              0             0.8      
    26        17           5              1              0             0.8      
    27        23           7              1              0       0.8571428571428571
    28        17           5              1              0             0.8      
    29        31           9              2              0       0.7777777777777778
    30        25           8              1              0            0.875     
    31        16           5              1              0             0.8      
    32        21           7              0              0             1.0      
    33        10           3              0              0             1.0      
    34        16           5              1              0             0.8      
    35        31           8              3              0            0.625     
    36        16           5              1              0             0.8      
    37        12           4              0              0             1.0      
    38        21           6              1              0       0.8333333333333334
    39        13           4              0              0             1.0      
    40        19           6              1              0       0.8333333333333334
    41        15           5              0              0             1.0      
    42        18           6              0              0             1.0      
    43        22           6              2              0       0.6666666666666666
    44        13           4              1              0            0.75      
    45        16           5              1              0             0.8      
    46        12           4              0              0             1.0      
    47        26           7              2              0       0.7142857142857143
    48        11           3              1              0       0.6666666666666666
    49        16           4              1              0            0.75      
    50        24           6              2              0       0.6666666666666666
    51        19           6              1              0       0.8333333333333334
    52        16           5              1              0             0.8      
    53        18           5              1              0             0.8      
    54        16           5              0              0             1.0      
    55        14           4              1              0            0.75      
    56        12           3              1              0       0.6666666666666666
    57        7            2              0              0             1.0      
    58        15           5              0              0             1.0      
    59        18           5              1              0             0.8      
    60        17           5              1              0             0.8      
    61        13           4              0              0             1.0      
    62        18           5              1              0             0.8      
    63        28           8              2              0            0.75      
    64        7            2              0              0             1.0      
    65        16           5              1              0             0.8      
    66        17           5              1              0             0.8      
    67        16           5              1              0             0.8      
    68        10           3              0              0             1.0      
    69        12           4              0              0             1.0      
    70        12           4              0              0             1.0      
    71        16           5              1              0             0.8      
    72        19           6              1              0       0.8333333333333334
    73        22           7              1              0       0.8571428571428571
    74        16           5              1              0             0.8      
    75        10           3              0              0             1.0      
    76        22           7              1              0       0.8571428571428571
    77        16           5              1              0             0.8      
    78        15           4              1              0            0.75      
    79        22           7              1              0       0.8571428571428571
    80        23           6              2              0       0.6666666666666666
    81        24           7              1              0       0.8571428571428571
    82        28           8              2              0            0.75      
    83        20           5              2              0             0.6      
    84        16           5              1              0             0.8      
    85        14           4              1              0            0.75      
    86        15           5              0              0             1.0      
    87        19           6              1              0       0.8333333333333334
    88        12           3              1              0       0.6666666666666666
    89        27           7              2              0       0.7142857142857143
    90        22           7              1              0       0.8571428571428571
    91        19           6              1              0       0.8333333333333334
    92        18           6              0              0             1.0      
    93        9            3              0              0             1.0      
    94        10           3              0              0             1.0      
    95        10           3              0              0             1.0      
    96        15           5              0              0             1.0      
    97        16           5              1              0             0.8      
    98        21           7              0              0             1.0      
    99        12           3              1              0       0.6666666666666666
   100        14           4              1              0            0.75      
   101        16           5              1              0             0.8      
   102        12           3              1              0       0.6666666666666666
   103        15           5              0              0             1.0      
   104        16           5              1              0             0.8      
   105        12           4              0              0             1.0      
   106        18           5              1              0             0.8      
   107        15           5              0              0             1.0      
   108        19           6              1              0       0.8333333333333334
   109        28           8              2              0            0.75      
   110        12           4              0              0             1.0      
   111        19           6              1              0       0.8333333333333334
   112        16           5              1              0             0.8      
   113        14           4              1              0            0.75      
   114        16           4              1              0            0.75      
   115        15           4              1              0            0.75      
   116        25           7              2              0       0.7142857142857143
   117        16           5              1              0             0.8      
   118        25           7              2              0       0.7142857142857143
   119        7            2              0              0             1.0      
   120        15           5              0              0             1.0      
   121        15           5              0              0             1.0      
   122        28           8              2              0            0.75      
   123        15           5              0              0             1.0      
   124        16           5              1              0             0.8      
   125        12           4              0              0             1.0      
   126        9            3              0              0             1.0      
   127        14           4              1              0            0.75      
   128        28           8              2              0            0.75      
   129        25           7              2              0       0.7142857142857143
   130        20           6              2              0       0.6666666666666666
   131        10           3              0              0             1.0      
   132        18           6              0              0             1.0      
   133        22           7              1              0       0.8571428571428571
   134        16           5              1              0             0.8      
   135        14           4              1              0            0.75      
   136        15           5              0              0             1.0      
   137        16           5              0              0             1.0      
   138        19           6              1              0       0.8333333333333334
   139        7            2              0              0             1.0      
   140        15           5              0              0             1.0      
   141        21           6              1              0       0.8333333333333334
   142        16           5              1              0             0.8      
   143        22           6              2              0       0.6666666666666666
   144        15           5              0              0             1.0      
   145        18           5              1              0             0.8      
   146        24           7              1              0       0.8571428571428571
   147        12           4              0              0             1.0      
   148        16           5              1              0             0.8      
   149        16           4              1              0            0.75      
   150        16           5              1              0             0.8      
   151        20           6              1              0       0.8333333333333334
   152        7            2              0              0             1.0      
   153        12           4              0              0             1.0      
   154        12           3              1              0       0.6666666666666666
   155        16           5              1              0             0.8      
   156        9            3              0              0             1.0      
   157        16           5              1              0             0.8      
   158        12           4              0              0             1.0      
   159        21           6              1              0       0.8333333333333334
   160        15           5              0              0             1.0      
   161        9            3              0              0             1.0      
   162        14           4              1              0            0.75      
   163        15           5              0              0             1.0      
   164        18           5              1              0             0.8      
   165        20           5              2              0             0.6      
   166        15           5              0              0             1.0      
   167        22           6              2              0       0.6666666666666666
   168        8            2              0              0             1.0      
   169        26           7              2              0       0.7142857142857143
   170        22           6              2              0       0.6666666666666666
   171        20           5              2              0             0.6      
   172        20           6              1              0       0.8333333333333334
   173        15           5              0              0             1.0      
   174        15           5              0              0             1.0      
   175        16           5              1              0             0.8      
   176        16           4              1              0            0.75      
   177        16           5              1              0             0.8      
   178        10           3              0              0             1.0      
   179        22           6              2              0       0.6666666666666666
   180        19           6              1              0       0.8333333333333334
   181        16           5              1              0             0.8      
   182        14           4              1              0            0.75      
   183        28           8              2              0            0.75      
   184        16           5              0              0             1.0      
   185        18           5              1              0             0.8      
   186        21           6              1              0       0.8333333333333334
   187        10           3              0              0             1.0      
   188        14           4              1              0            0.75      
   189        8            2              0              0             1.0      
   190        9            3              0              0             1.0      
   191        20           5              2              0             0.6      
   192        18           6              0              0             1.0      
   193        16           4              1              0            0.75      
   194        10           3              0              0             1.0      
   195        16           5              1              0             0.8      
   196        12           3              1              0       0.6666666666666666
   197        16           5              0              0             1.0      
   198        20           6              1              0       0.8333333333333334
   199        19           6              1              0       0.8333333333333334
   200        10           3              0              0             1.0      
   201        19           5              1              0             0.8      
   202        14           4              1              0            0.75      
   203        10           3              0              0             1.0      
   204        9            3              0              0             1.0      
   205        18           6              0              0             1.0      
   206        28           8              2              0            0.75      
   207        16           5              1              0             0.8      
   208        10           3              0              0             1.0      
   209        14           4              1              0            0.75      
