   NO.      Round     Ori_Content   Lack_Content   Extra_Content   Final_Cover  
    1         10           5              1              0             0.8      
    2         16           7              1              0       0.8571428571428571
    3         14           5              1              0             0.8      
    4         15           5              0              0             1.0      
    5         10           4              1              0            0.75      
    6         15           7              1              0       0.8571428571428571
    7         16           7              1              0       0.8571428571428571
    8         14           5              1              0             0.8      
    9         14           5              1              0             0.8      
    10        14           5              1              0             0.8      
    11        16           7              2              0       0.7142857142857143
    12        16           6              0              0             1.0      
    13        14           5              0              0             1.0      
    14        13           5              1              0             0.8      
    15        14           5              1              0             0.8      
    16        15           6              1              0       0.8333333333333334
    17        16           7              1              0       0.8571428571428571
    18        10           5              0              0             1.0      
    19        14           6              1              0       0.8333333333333334
    20        15           5              0              0             1.0      
    21        14           5              1              0             0.8      
    22        15           5              0              0             1.0      
    23        14           6              1              0       0.8333333333333334
    24        9            2              0              0             1.0      
    25        14           5              1              0             0.8      
    26        14           5              1              0             0.8      
    27        16           7              1              0       0.8571428571428571
    28        14           5              1              0             0.8      
    29        17           9              1              0       0.8888888888888888
    30        17           8              1              0            0.875     
    31        14           5              1              0             0.8      
    32        17           7              0              0             1.0      
    33        12           3              0              0             1.0      
    34        14           5              1              0             0.8      
    35        15           8              1              0            0.875     
    36        14           5              1              0             0.8      
    37        14           4              0              0             1.0      
    38        15           6              0              0             1.0      
    39        13           4              0              0             1.0      
    40        15           6              1              0       0.8333333333333334
    41        15           5              0              0             1.0      
    42        16           6              0              0             1.0      
    43        14           6              1              0       0.8333333333333334
    44        10           4              1              0            0.75      
    45        14           5              1              0             0.8      
    46        15           4              0              0             1.0      
    47        13           7              1              0       0.8571428571428571
    48        9            3              1              0       0.6666666666666666
    49        11           4              0              0             1.0      
    50        15           6              0              0             1.0      
    51        15           6              1              0       0.8333333333333334
    52        14           5              1              0             0.8      
    53        15           5              0              0             1.0      
    54        14           5              0              0             1.0      
    55        10           4              1              0            0.75      
    56        9            3              1              0       0.6666666666666666
    57        10           2              0              0             1.0      
    58        16           5              0              0             1.0      
    59        15           5              0              0             1.0      
    60        13           5              1              0             0.8      
    61        13           4              0              0             1.0      
    62        15           5              0              0             1.0      
    63        16           8              1              0            0.875     
    64        11           2              0              0             1.0      
    65        14           5              1              0             0.8      
    66        13           5              1              0             0.8      
    67        14           5              1              0             0.8      
    68        10           3              0              0             1.0      
    69        14           4              0              0             1.0      
    70        14           4              0              0             1.0      
    71        14           5              1              0             0.8      
    72        15           6              1              0       0.8333333333333334
    73        16           7              1              0       0.8571428571428571
    74        14           5              1              0             0.8      
    75        10           3              0              0             1.0      
    76        16           7              1              0       0.8571428571428571
    77        14           5              1              0             0.8      
    78        14           4              0              0             1.0      
    79        16           7              1              0       0.8571428571428571
    80        12           6              1              0       0.8333333333333334
    81        16           7              0              0             1.0      
    82        16           8              1              0            0.875     
    83        10           5              1              0             0.8      
    84        14           5              1              0             0.8      
    85        12           4              1              0            0.75      
    86        15           5              0              0             1.0      
    87        15           6              1              0       0.8333333333333334
    88        9            3              1              0       0.6666666666666666
    89        15           7              0              0             1.0      
    90        16           7              1              0       0.8571428571428571
